run_id,from_grade,to_grade,machine_speed,steam_pressure,stock_flow,moisture,ash,caliper,basis_weight_dev,stabilization_time,waste_tons,status
1,Grade B,Grade A,448.65,2.42,2727.42,5.14,9.16,0.112,9.43,67.1,33.55,Critical
2,Grade A,Grade D,279.08,3.11,3651.2,6.8,16.21,0.214,12.14,95.8,47.9,Critical
3,Grade C,Grade A,510.09,2.56,2629.52,5.54,8.75,0.101,-7.21,107.9,53.96,Critical
4,Grade D,Grade B,384.69,2.66,3246.14,7.44,13.42,0.183,-1.55,63.7,31.84,Critical
5,Grade A,Grade B,342.73,2.82,3029.85,6.24,11.89,0.161,3.14,94.1,47.03,Critical
6,Grade B,Grade D,334.93,3.78,3709.84,6.71,16.4,0.18,-5.06,72.1,36.07,Critical
7,Grade C,Grade D,334.71,3.14,3568.32,8.09,15.64,0.206,-8.62,94.9,47.43,Critical
8,Grade B,Grade C,577.8,2.04,2354.71,5.11,6.43,0.095,1.88,56.4,14.09,Warning
9,Grade A,Grade B,375.73,2.9,3074.34,6.65,11.85,0.159,-4.54,109.1,54.54,Critical
10,Grade D,Grade C,621.51,2.38,2281.01,4.7,6.0,0.077,-8.25,108.8,54.39,Critical
11,Grade D,Grade B,363.43,3.22,2834.57,5.81,10.96,0.136,-9.01,117.1,58.54,Critical
12,Grade D,Grade B,322.15,3.16,3131.8,5.25,12.65,0.145,13.42,95.1,47.57,Critical
13,Grade A,Grade D,333.63,3.64,3835.37,6.95,16.75,0.187,-1.46,37.4,9.35,Warning
14,Grade D,Grade C,529.7,2.29,2309.47,4.17,6.49,0.08,9.0,69.9,34.93,Critical
15,Grade D,Grade C,557.38,2.25,2380.29,4.46,6.55,0.087,6.76,117.6,58.82,Critical
16,Grade C,Grade A,395.64,2.3,2704.13,4.78,8.95,0.114,23.03,72.3,36.15,Critical
17,Grade D,Grade A,473.49,2.77,2443.14,4.74,8.18,0.088,-7.12,109.9,54.94,Critical
18,Grade A,Grade D,282.22,3.56,3403.13,6.0,15.12,0.171,3.36,95.2,47.6,Critical
19,Grade A,Grade B,373.78,2.77,3092.49,6.95,11.97,0.169,-3.48,67.8,33.89,Critical
20,Grade A,Grade C,580.77,2.39,2040.12,4.38,5.62,0.07,-12.18,109.7,54.87,Critical
21,Grade C,Grade B,354.86,2.79,2984.8,6.55,12.16,0.158,-1.87,41.0,10.24,Warning
22,Grade C,Grade B,334.86,2.95,3025.05,5.84,12.27,0.154,5.39,94.3,47.16,Critical
23,Grade D,Grade B,359.93,3.11,3028.3,5.96,12.57,0.145,-1.84,40.3,10.07,Warning
24,Grade C,Grade D,308.8,3.29,3649.16,7.12,14.88,0.2,1.29,55.9,13.97,Warning
25,Grade A,Grade D,300.85,3.83,3726.38,5.95,15.59,0.173,6.17,110.1,55.04,Critical
26,Grade B,Grade A,517.14,2.6,2599.63,5.52,8.38,0.101,-9.51,117.6,58.82,Critical
27,Grade B,Grade D,265.62,3.62,3693.72,5.57,16.48,0.189,19.19,84.2,42.12,Critical
28,Grade C,Grade D,330.95,3.27,3395.86,7.68,14.5,0.183,-12.05,109.3,54.63,Critical
29,Grade B,Grade C,511.44,2.09,2018.55,4.41,5.52,0.079,-1.33,53.6,13.39,Warning
30,Grade A,Grade D,310.91,3.73,3458.68,6.32,15.14,0.172,-4.65,74.6,37.28,Critical
31,Grade B,Grade A,443.74,2.3,2557.92,5.37,8.45,0.109,3.76,86.3,43.13,Critical
32,Grade B,Grade D,285.84,3.63,3238.07,5.97,13.24,0.156,-2.9,71.4,35.68,Critical
33,Grade C,Grade A,445.65,2.58,2713.88,4.81,8.63,0.107,9.61,87.0,43.49,Critical
34,Grade D,Grade A,450.2,2.32,2359.91,5.39,7.2,0.099,-5.65,88.5,44.24,Critical
35,Grade C,Grade B,380.21,2.95,3021.86,6.62,12.14,0.156,-7.28,78.2,39.12,Critical
36,Grade B,Grade C,587.54,2.35,2090.45,4.5,5.67,0.072,-11.05,61.1,30.53,Critical
37,Grade A,Grade B,392.27,3.14,2713.34,6.43,11.19,0.127,-19.3,115.9,57.97,Critical
38,Grade B,Grade D,258.71,3.46,3318.68,5.67,14.85,0.177,9.95,90.6,45.3,Critical
39,Grade D,Grade C,495.19,1.94,2409.06,4.59,6.74,0.1,21.62,102.1,51.03,Critical
40,Grade B,Grade C,525.97,2.04,2203.34,4.65,5.79,0.088,4.73,105.7,52.87,Critical
41,Grade A,Grade C,577.92,2.15,2022.51,4.85,5.66,0.077,-12.51,91.1,45.55,Critical
42,Grade A,Grade C,542.49,2.34,1984.15,4.17,5.63,0.069,-8.56,111.1,55.56,Critical
43,Grade A,Grade C,524.07,2.29,2323.34,4.12,6.65,0.082,10.83,86.7,43.34,Critical
44,Grade D,Grade A,405.21,2.29,2567.02,4.91,8.48,0.113,14.03,106.8,53.42,Critical
45,Grade D,Grade B,353.9,3.29,2913.98,5.53,11.09,0.135,-3.94,80.0,40.0,Critical
46,Grade A,Grade C,618.39,1.99,2153.42,5.59,5.99,0.086,-12.94,97.6,48.8,Critical
47,Grade D,Grade A,446.46,2.56,2465.09,4.84,7.63,0.095,-0.61,17.8,1.78,Safe
48,Grade C,Grade A,515.35,2.54,2369.75,5.64,7.47,0.091,-17.23,110.3,55.14,Critical
49,Grade A,Grade D,320.45,3.4,3638.07,7.14,15.72,0.189,-2.69,61.2,30.61,Critical
50,Grade C,Grade B,396.67,3.19,3214.87,6.41,12.58,0.149,-5.45,98.9,49.45,Critical
51,Grade D,Grade B,371.91,3.02,2852.93,6.33,11.77,0.143,-10.51,67.2,33.61,Critical
52,Grade D,Grade B,370.06,3.31,2803.51,5.75,10.95,0.123,-11.62,83.5,41.73,Critical
53,Grade C,Grade A,415.74,2.55,2316.33,4.52,7.45,0.093,0.29,35.9,8.98,Warning
54,Grade A,Grade C,596.0,2.31,2227.88,4.64,6.1,0.077,-6.55,110.4,55.2,Critical
55,Grade B,Grade D,329.74,3.16,3845.67,7.92,16.02,0.215,-0.03,83.4,41.7,Critical
56,Grade A,Grade D,326.14,3.79,3217.44,6.53,13.13,0.154,-15.44,88.4,44.18,Critical
57,Grade B,Grade A,511.97,2.28,2529.11,6.24,7.9,0.111,-11.08,84.5,42.24,Critical
58,Grade B,Grade D,338.82,3.84,3706.97,6.68,16.61,0.17,-6.22,67.5,33.74,Critical
